Num,Type,Square,Name,Freqs,Period,Building,FPD
76,магазин,101,Другие,6 774,29,жилой дом,"233,5862069"
348,магазин,245,Другие,8 317,31,жилой дом,"268,2903226"
272,супермаркет,298,Пятерочка,25 355,29,жилой дом,"874,3103448"
284,супермаркет,405,Пятерочка,79 159,29,жилой дом,"2729,62069"
435,минимаркет,179,Другие,2 534,30,жилой дом,"84,46666667"
182,супермаркет,329,Ароматный мир,8 197,30,жилой дом,"273,2333333"
372,супермаркет,197,ВкусВилл,12 602,30,жилой дом,"420,0666667"
377,супермаркет,378,Другие,11 175,30,жилой дом,"372,5"
101,супермаркет,1 361,Другие,10 269,33,отдельное здание,"311,1818182"
203,супермаркет,407,Пятерочка,41 982,32,жилой дом,"1311,9375"
287,магазин,648,Красное & Белое,6 846,32,жилой дом,"213,9375"
288,супермаркет,569,Пятерочка,15 205,31,жилой дом,"490,483871"
290,дискаунтер,951,Дикси,5 635,29,жилой дом,"194,3103448"
300,магазин,131,Другие,4 339,31,жилой дом,"139,9677419"
301,лавка,20,Другие,4 098,31,жилой дом,"132,1935484"
8,супермаркет,783,Пятерочка,67 339,30,отдельное здание,"2244,633333"
60,минимаркет,230,Другие,2 431,31,жилой дом,"78,41935484"
99,супермаркет,900,Перекресток,63 907,31,жилой дом,"2061,516129"
207,магазин,186,Другие,6 063,31,жилой дом,"195,5806452"
98,магазин,186,Другие,16 007,30,жилой дом,"533,5666667"
137,магазин,107,Другие,2 136,30,жилой дом,"71,2"
349,супермаркет,1 200,Перекресток,34 500,31,жилой дом,"1112,903226"
7,супермаркет,648,Пятерочка,56 617,30,жилой дом,"1887,233333"
61,магазин,104,Другие,10 481,30,жилой дом,"349,3666667"
58,магазин,164,Другие,4 496,30,жилой дом,"149,8666667"
67,супермаркет,212,Фасоль,15 892,30,жилой дом,"529,7333333"
380,минимаркет,228,Другие,2 144,30,жилой дом,"71,46666667"
230,магазин,131,Другие,8 453,29,жилой дом,"291,4827586"
362,магазин,169,Другие,7 913,30,жилой дом,"263,7666667"
463,магазин,162,Другие,5 153,30,ТЦ,"171,7666667"
466,магазин,228,Другие,27 419,30,ТЦ,"913,9666667"
27,магазин,221,Другие,4 227,27,жилой дом,"156,5555556"
43,дискаунтер,686,Дикси,17 773,27,жилой дом,"658,2592593"
269,магазин,517,Красное & Белое,16 604,27,жилой дом,"614,962963"
276,дискаунтер,1 001,Дикси,58 040,27,жилой дом,"2149,62963"
440,магазин,181,Другие,1 422,27,жилой дом,"52,66666667"
149,супермаркет,254,Пятерочка,22 610,31,жилой дом,"729,3548387"
331,супермаркет,363,Ароматный мир,5 715,31,жилой дом,"184,3548387"
402,дискаунтер,699,Дикси,34 955,31,жилой дом,"1127,580645"
427,супермаркет,1 500,Перекресток,74 450,31,ТЦ,"2401,612903"
3,супермаркет,328,Пятерочка,21 339,32,жилой дом,"666,84375"
84,магазин,91,Другие,1 772,32,жилой дом,"55,375"
111,магазин,540,Красное & Белое,16 969,32,жилой дом,"530,28125"
104,магазин,152,Другие,6 992,35,жилой дом,"199,7714286"
168,минимаркет,149,Другие,6 359,35,жилой дом,"181,6857143"
277,лавка,15,Другие,2 119,35,жилой дом,"60,54285714"
285,супермаркет,208,ВкусВилл,18 163,35,жилой дом,"518,9428571"
36,магазин,425,Красное & Белое,18 583,29,жилой дом,"640,7931034"
72,магазин,90,Другие,2 858,29,жилой дом,"98,55172414"
245,дискаунтер,935,Дикси,17 374,29,жилой дом,"599,1034483"
256,магазин,80,Другие,1 919,29,жилой дом,"66,17241379"
336,магазин,188,Другие,5 955,29,жилой дом,"205,3448276"
382,дискаунтер,872,Дикси,27 356,29,жилой дом,"943,3103448"
48,магазин,253,Другие,3 444,35,жилой дом,"98,4"
254,супермаркет,256,Магнит,25 757,35,жилой дом,"735,9142857"
396,супермаркет,487,Другие,18 674,35,жилой дом,"533,5428571"
38,супермаркет,199,ВкусВилл,33 958,35,жилой дм,"970,2285714"
117,минимаркет,163,Другие,3 241,35,ТЦ,"92,6"
258,магазин,175,Другие,11 619,29,жилой дом,"400,6551724"
309,магазин,593,Красное & Белое,15 778,32,жилой дом,"493,0625"
270,супермаркет,256,Магнит,30 044,29,жилой дом,1036
283,супермаркет,547,Пятерочка,1 963,31,жилой дом,"63,32258065"
34,магазин,205,Другие,9 122,31,жилой дом,"294,2580645"
332,супермаркет,279,Магнит,32 778,31,жилой дом,"1057,354839"
345,магазин,178,Другие,7 564,31,жилой дом,244
346,магазин,166,Другие,5 164,33,жилой дом,"156,4848485"
355,магазин,175,Другие,17 202,30,жилой дом,"573,4"
365,магазин,206,Другие,4 431,31,жилой дом,"142,9354839"
366,магазин,169,Другие,5 990,31,жилой дом,"193,2258065"
375,лавка,17,Другие,8 636,29,жилой дом,"297,7931034"
385,магазин,718,Красное & Белое,22 725,32,жилой дом,"710,15625"
386,магазин,177,Другие,6 063,30,жилой дом,"202,1"
389,магазин,159,Другие,3 448,29,жилой дом,"118,8965517"
395,магазин,161,Другие,8 828,31,жилой дом,"284,7741935"
397,супермаркет,444,Призма,65 672,30,жилой дом,"2189,066667"
403,дискаунтер,851,Дикси,22 312,31,жилой дом,"719,7419355"
404,супермаркет,1 100,Перекресток,79 213,29,жилой дом,"2731,482759"
412,супермаркет,76,Ароматный мир,5 390,31,жилой дом,"173,8709677"
413,магазин,84,Красное & Белое,14 680,31,жилой дом,"473,5483871"
418,супермаркет,356,Другие,61 442,31,жилой дом,1982
420,магазин,151,Другие,2 712,29,жилой дом,"93,51724138"
422,магазин,179,Другие,4 618,29,жилой дом,"159,2413793"
428,магазин,99,Другие,1 979,29,жилой дом,"68,24137931"
433,супермаркет,347,Ароматный мир,6 885,32,жилой дом,"215,15625"
443,магазин,210,Другие,7 389,33,жилой дом,"223,9090909"
457,магазин,232,Другие,8 791,30,жилой дом,"293,0333333"
475,супермаркет,591,Семишагофф,54 887,29,жилой дом,"1892,655172"
369,гипермаркет,3 673,Лента,170 820,30,отдельное здание,5694
